id;Answer
0;N. F. S. Grundtvig
1;1997
2;Carl Nielsen
3;1978
4;Kaj Munk
5;1998
6;Storebæltsbroen
7;Dronning Margrethe II
8;100 m
9;2012
10;2009
11;Steen Jørgensen
12;Kim Larsen
13;Mød mig på Cassiopeia
14;Liva Weel og Poul Reichhardt
15;Sølvtræet
16;1885
17;Jens Peter Jacobsen
18;Henrik Nordbrandt
19;Ecbatana
20;Søren Kierkegaard
21;1843
22;Søren Kierkegaard
23;Brev 2. Til A
24;Victor Eremita er pseudonym for den danske forfatter Jens Peter Jacobsen.
25;1987
26;Kirsten Olesen
27;Le Grand
28;Gabriel Axel
29;Den lille danske landsby er ikke navngivet i filmen.
30;Jens Peter Jacobsen
31;1914
32;Carl Nielsen
33;1995
34;Aftensang
35;1955
36;Halfdan Rasmussen
37;Bent Fabricius‑Bjerre
38;Kirsten Walther
39;Dyrene i Hakkebakkeskoven
40;N.F.S. Grundtvig
41;Bent Fabricius‑Bjerre
42;1840
43;I Den danske Salmebog (2003).
44;365
45;1978
46;Kjeld Nørgaard
47;Lise Nørgaard
48;Springfield
49;Mikael Wulff
50;Grethe Sønck
51;Bent Fabricius‑Bjerre
52;1993
53;Bent Fabricius‑Bjerre
54;Kim Larsen
55;Ib Schønberg
56;Teksten er skrevet af Thomas Troelsen.
57;Solitudevej
58;Morten Green
59;2022
60;Otto Brandenburg og Sejr Volmer‑Sørensen
61;1963
62;Grethe og Jørgen Ingmann
63;Jørgen Ingmann
64;The Song of the Sea
65;Ludwig van Beethoven
66;Det Kongelige Danske Orkester
67;4
68;Jens Rosing
69;1975
70;1750
71;Nicolai Eigtved
72;Frederikskirken
73;1771
74;Frederik V
75;1902
76;Den blev fundet i en mose ved Moesgaard i Danmark.
77;Bronze
78;Den er udstillet på Nationalmuseet i København.
79;en gud
80;1975
81;Kim Larsen
82;Steffen Brandt
83;Liva Weel
84;1979
85;Hanne Løvig
86;Danse i måneskin
87;Kim Larsen
88;2010
89;Kim Larsen
90;1976
91;Per Nørgård
92;4
93;Carl Nielsen Prisen
94;2006
95;Edvard Eriksen
96;Langelinie
97;1913
98;Carl Jacobsen
99;Hans Christian Andersen
100;Thorvald Bindesbølls Plads ligger i København, på Østerbro (2100 København Ø).
101;Carlsberg Bryggeris hovedbygning
102;Mølleparken
103;København
104;Vesterbro
105;Jens Christian Hostrup
106;1847
107;Johanne Luise Heiberg
108;Bl.a. Lisbeth Lolle, Jørgen Reenberg, Inge Hvid‑Møller og Preben Lerdorff Rye.
109;Henning Carlsen
110;Poul Henningsen
111;Cirkusrevyen
112;Kim Larsen
113;1940
114;Liva Weel
115;1978 kg
116;Jens Peter Jacobsen
117;Syv historier
118;3
119;4 linjer i hver strofe.
120;Sommer
121;1914
122;Mors lille dreng
123;2012
124;Sangbog for skole og hjem
125;Peter Paul Rubens
126;1902
127;Statens Museum for Kunst i København.
128;1,95 m
129;Den er placeret ved Statens Museum for Kunst i København.
130;1978
131;Kim Larsen
132;Kim Larsen
